parameter,comment,options,label
X,array-like of shape (n_samples n_features) Training data where `n_samples` is the number of samples and `n_features` is the number of features.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
y,Ignored Ignored.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
X,array-like of shape (n_samples n_features) The data.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
X,array-like of shape (n_samples n_features) The data.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
y,Ignored Ignored.,math.log math.sqrt numbers.Integral numbers.Real numpy scipy.linalg scipy.special.gammaln scipy.sparse.issparse scipy.sparse.linalg.svds _base._BasePCA utils.check_random_state utils._arpack._init_arpack_v0 utils.deprecation.deprecated utils.extmath.fast_logdet utils.extmath.randomized_svd utils.extmath.svd_flip utils.extmath.stable_cumsum utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.RealNotInt,
X,{array-like sparse matrix} of shape (n_samples n_features) Training data.,numbers.Integral numbers.Real numpy scipy.sparse scipy.sparse.linalg.svds base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_random_state utils._arpack._init_arpack_v0 utils.extmath.randomized_svd utils.extmath.safe_sparse_dot utils.extmath.svd_flip utils.sparsefuncs.mean_variance_axis utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions,
y,Ignored Not used present here for API consistency by convention.,numbers.Integral numbers.Real numpy scipy.sparse scipy.sparse.linalg.svds base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_random_state utils._arpack._init_arpack_v0 utils.extmath.randomized_svd utils.extmath.safe_sparse_dot utils.extmath.svd_flip utils.sparsefuncs.mean_variance_axis utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions,
X,{array-like sparse matrix} of shape (n_samples n_features) Training data.,numbers.Integral numbers.Real numpy scipy.sparse scipy.sparse.linalg.svds base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_random_state utils._arpack._init_arpack_v0 utils.extmath.randomized_svd utils.extmath.safe_sparse_dot utils.extmath.svd_flip utils.sparsefuncs.mean_variance_axis utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions,
y,Ignored Not used present here for API consistency by convention.,numbers.Integral numbers.Real numpy scipy.sparse scipy.sparse.linalg.svds base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_random_state utils._arpack._init_arpack_v0 utils.extmath.randomized_svd utils.extmath.safe_sparse_dot utils.extmath.svd_flip utils.sparsefuncs.mean_variance_axis utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions,
X,{array-like sparse matrix} of shape (n_samples n_features) New data.,numbers.Integral numbers.Real numpy scipy.sparse scipy.sparse.linalg.svds base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin utils.check_array utils.check_random_state utils._arpack._init_arpack_v0 utils.extmath.randomized_svd utils.extmath.safe_sparse_dot utils.extmath.svd_flip utils.sparsefuncs.mean_variance_axis utils.validation.check_is_fitted utils._param_validation.Interval utils._param_validation.StrOptions,
w,ndarray of shape (n) Array to be orthogonalized,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
W,ndarray of shape (p n) Null space definition,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
j,int < p The no of (from the first) rows of Null space W wrt which w is orthogonalized.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
X,array-like of shape (n_samples n_features) Training data where `n_samples` is the number of samples and `n_features` is the number of features.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
compute_sources,bool default=False If False sources are not computes but only the rotation matrix. This can save memory when working with big data. Defaults to False.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
X,array-like of shape (n_samples n_features) Training data where `n_samples` is the number of samples and `n_features` is the number of features.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
y,Ignored Not used present for API consistency by convention.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
X,array-like of shape (n_samples n_features) Training data where `n_samples` is the number of samples and `n_features` is the number of features.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
y,Ignored Not used present for API consistency by convention.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
X,array-like of shape (n_samples n_features) Data to transform where `n_samples` is the number of samples and `n_features` is the number of features.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
copy,bool default=True If False data passed to fit can be overwritten. Defaults to True.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
X,array-like of shape (n_samples n_components) Sources where `n_samples` is the number of samples and `n_components` is the number of components.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
copy,bool default=True If False data passed to fit are overwritten. Defaults to True.,warnings numbers.Integral numbers.Real numpy scipy.linalg base.BaseEstimator base.TransformerMixin base.ClassNamePrefixFeaturesOutMixin exceptions.ConvergenceWarning utils.check_array utils.as_float_array utils.check_random_state utils.validation.check_is_fitted utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.validate_params,
